Epoch 1/500, VAE Loss: 3964449.452586207, GAN Loss: 1.2345081824680855
Epoch 2/500, VAE Loss: 1281912.8609913792, GAN Loss: 1.2597122624002655
Epoch 3/500, VAE Loss: 562557.5331357758, GAN Loss: 1.2415939661963233
Epoch 4/500, VAE Loss: 934631.3386314656, GAN Loss: 1.2365844331938645
Epoch 5/500, VAE Loss: 5804527.066810345, GAN Loss: 1.1762871860430157
Epoch 6/500, VAE Loss: 13271058.659482758, GAN Loss: 1.0016930049349522
Epoch 7/500, VAE Loss: 129147969.8275862, GAN Loss: 0.9974866661018339
Epoch 8/500, VAE Loss: 1240851582.8965516, GAN Loss: 1.0854953655908848
Epoch 9/500, VAE Loss: 5067978061.24138, GAN Loss: 1.144698060792068
Epoch 10/500, VAE Loss: 17469031856.551723, GAN Loss: 1.1622202447776138
Epoch 11/500, VAE Loss: 54452758969.37931, GAN Loss: 1.1445255670054206
Epoch 12/500, VAE Loss: 157829321904.55173, GAN Loss: 1.1511113201749736
Epoch 13/500, VAE Loss: 279772254208.0, GAN Loss: 1.1694781410283055
Epoch 14/500, VAE Loss: 608631646419.862, GAN Loss: 1.1591575382084682
Epoch 15/500, VAE Loss: 1063957200896.0, GAN Loss: 1.13333047772276
Epoch 16/500, VAE Loss: 1209297476219.5862, GAN Loss: 1.337829172739695
Epoch 17/500, VAE Loss: 860343936953.3793, GAN Loss: 1.2449120180360203
Epoch 18/500, VAE Loss: 673226331100.6897, GAN Loss: 1.2435371752442985
Epoch 19/500, VAE Loss: 519312495015.7241, GAN Loss: 1.5208627982386227
Epoch 20/500, VAE Loss: 652659260027.5862, GAN Loss: 1.146305394583735
Epoch 21/500, VAE Loss: 2407129010599.724, GAN Loss: 1.1700430635748238
Epoch 22/500, VAE Loss: 4939145595656.827, GAN Loss: 1.1515149063077466
Epoch 23/500, VAE Loss: 5530134430260.966, GAN Loss: 1.146139315490065
Epoch 24/500, VAE Loss: 5050983007902.896, GAN Loss: 1.160901009008802
Epoch 25/500, VAE Loss: 5236521760556.138, GAN Loss: 1.1621354705300824
Epoch 26/500, VAE Loss: 5642800093254.621, GAN Loss: 1.1138334962828407
Epoch 27/500, VAE Loss: 6701255812484.414, GAN Loss: 0.8736369275841219
Epoch 28/500, VAE Loss: 5940942853084.689, GAN Loss: 0.7211751984111194
Epoch 29/500, VAE Loss: 4930902920509.793, GAN Loss: 0.5401122033082205
Epoch 30/500, VAE Loss: 4485674637947.586, GAN Loss: 0.3538548584128248
Epoch 31/500, VAE Loss: 4320454316455.724, GAN Loss: 0.3590739894786785
