Epoch 1/500, VAE Loss: 2072661.9876077587, GAN Loss: 1.1304040504940625
Epoch 2/500, VAE Loss: 503861.4453125, GAN Loss: 0.3391269155103585
Epoch 3/500, VAE Loss: 416905.0538793103, GAN Loss: 0.31112912811081983
Epoch 4/500, VAE Loss: 383330.1085668103, GAN Loss: 0.32760675379942206
Epoch 5/500, VAE Loss: 364570.8469827586, GAN Loss: 0.3402823669643238
Epoch 6/500, VAE Loss: 350040.8741918103, GAN Loss: 0.35827443697329225
Epoch 7/500, VAE Loss: 334868.0699084052, GAN Loss: 0.39158927597876253
Epoch 8/500, VAE Loss: 323173.0424299569, GAN Loss: 0.401944973088544
Epoch 9/500, VAE Loss: 316157.6423760776, GAN Loss: 0.40076503825598747
Epoch 10/500, VAE Loss: 310979.5836476293, GAN Loss: 0.36875116285578957
Epoch 11/500, VAE Loss: 307169.1278286638, GAN Loss: 0.36454556805306465
Epoch 12/500, VAE Loss: 302534.15234375, GAN Loss: 0.32692185391126005
Epoch 13/500, VAE Loss: 297717.7140355603, GAN Loss: 0.30055025990667017
Epoch 14/500, VAE Loss: 292187.1190732759, GAN Loss: 0.2913827554419123
Epoch 15/500, VAE Loss: 285993.2540409483, GAN Loss: 0.30372701315530415
Epoch 16/500, VAE Loss: 278831.7277747845, GAN Loss: 0.33660008758306503
Epoch 17/500, VAE Loss: 272520.5382543103, GAN Loss: 0.39077040193409757
Epoch 18/500, VAE Loss: 267463.1879040948, GAN Loss: 0.422587185327349
Epoch 19/500, VAE Loss: 262666.6126077586, GAN Loss: 0.4528288684528449
Epoch 20/500, VAE Loss: 259246.6239224138, GAN Loss: 0.4838504136122506
Epoch 21/500, VAE Loss: 256814.5964439655, GAN Loss: 0.4896494437908304
Epoch 22/500, VAE Loss: 254774.66823814655, GAN Loss: 0.4991259405325199
Epoch 23/500, VAE Loss: 253284.9982489224, GAN Loss: 0.5006355900188972
Epoch 24/500, VAE Loss: 252286.9329202586, GAN Loss: 0.5103848800063133
Epoch 25/500, VAE Loss: 250866.4962284483, GAN Loss: 0.5092399664993944
Epoch 26/500, VAE Loss: 249738.49568965516, GAN Loss: 0.4974254469933181
Epoch 27/500, VAE Loss: 248520.3336476293, GAN Loss: 0.4861458498856117
